Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Sky Bet Championship;Leeds;Noah Okafor;AM (L);AM (R);AM (RL), ST (C);26;"6'1""";£55K - £81K p/w;£22M - £36M;Fairly Strong;Very Strong;7.01;2;1093;3;364.333333333333;0.2;3.88;3.88;-0.88;0.3;7%;0.0946341463414634;3.4;1.4;1.2;41%;1;0;0;2;0.2;2.61;0.2;87%;53.0;0.5;2.2;5.5;3.1;1.4;44;3.1;1.4;45;2.7;14;4;13.2;5.6;1.6;1.7;9.9;83;24;0;0.0;0.7;0.0;3;0;0;12.3;14.7;Recurring moderate thigh strain and partially torn hamstring;Very High;3.2;44;0.1;0;0;0;0;0;0;0;0;0;0;2.1;0.8
First Division;A. Bilbao;Álex Berenguer;AM (L);D/WB (L), M/AM (R);D/WB (L), M/AM (RL);31;"5'9""";£43.5K - £68K p/w;Not for Sale;Fairly Strong;Very Strong;7.03;1;1507;4;376.75;0.2;3.88;3.88;0.12;0.2;12%;0.114117647058824;2.0;0.7;0.8;35%;0;0;0;2;0.1;3.33;0.2;90%;51.8;0.6;2.3;5.9;6.5;1.5;22;2.2;0.7;32;3.4;20;9;13.6;6.7;1.7;2.6;9.9;76;38;1;0.3;0.8;0.1;17;4;0;11.7;16.1;No recurring injuries;Below Average;2.6;18;0.0;0;0;0;0;0;0;0;0;0;0;2.0;1.0
First Division;Real San Sebastián;Brais Méndez;AM (C);M (C);M (C), AM (RC);29;"6'2""";£53K - £60K p/w;£52M;Very Strong;Reasonable;7.00;1;1510;4;377.5;0.2;4.03;4.03;-0.03;0.2;9%;0.0937209302325581;2.6;1.1;1.1;44%;4;0;0;4;0.2;3.09;0.2;89%;50.9;0.6;1.7;3.1;7.0;1.1;16;2.0;0.4;18;2.0;9;9;14.1;11.7;0.9;1.4;8.5;56;27;1;0.2;0.2;0.0;12;0;0;12.2;14.3;No recurring injuries;Below Average;3.9;27;0.1;0;0;0;0;0;0;0;0;0;0;1.5;0.8
Premier League;West Ham;Jarrod Bowen;ST (C);M (RL);M/AM (RL), ST (C);29;"5'9""";£120K - £135K p/w;£41M - £60M;Very Strong;Reasonable;6.89;0;1522;4;380.5;0.2;2.9;2.9;1.1;0.2;13%;0.090625;1.9;1.1;1.0;56%;0;0;0;3;0.2;3.07;0.2;87%;43.7;0.4;1.7;3.7;5.1;0.7;13;2.7;0.5;20;4.4;39;7;15.4;7.7;2.1;2.3;14.3;69;51;0;0.3;0.8;0.2;17;1;0;13.9;19.0;No recurring injuries;Low;3.7;19;0.0;0;0;0;0;0;0;0;0;0;0;1.3;0.9
Bundesliga;TSG Hoffenheim;Andrej Kramarić;AM (C);AM (RL);M (C), AM (RLC), ST (C);35;"5'10""";£52K - £76K p/w;£30K - £325K;Fairly Strong;Very Strong;6.57;0;1174;3;391.333333333333;0.2;0.93;0.93;2.07;0.1;19%;0.058125;1.2;0.4;0.7;31%;1;1;100;1;0.1;2.64;0.2;83%;1.8;0.2;0.1;0.1;0.7;0.0;0;0.0;0.0;0;0.0;6;0;12.5;10.1;0.0;0.1;0.4;0;1;0;0.0;0.1;0.0;2;2;1;0.5;0.3;No recurring injuries;Above Average;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.6;0.9
Premier League;BRG;Ricardo Horta;AM (C);ST (C);AM (RLC), ST (C);32;"5'8""";£24.5K - £42K p/w;Not for Sale;Fairly Strong;Very Strong;7.21;4;1582;4;395.5;0.2;4.82;4.82;-0.82;0.3;9%;0.112093023255814;2.4;0.9;0.6;37%;2;1;100;1;0.1;1.29;0.1;89%;49.2;0.1;2.4;4.2;3.4;1.0;28;3.0;1.0;33;3.0;23;7;15.4;6.7;1.8;1.9;10.1;79;39;2;0.2;0.6;0.0;19;0;0;12.4;16.1;No recurring injuries;Below Average;2.6;20;0.1;0;0;0;0;0;0;0;0;0;0;1.1;0.7
Premier League;Man Utd;Noussair Mazraoui;D (R);D (LC), WB (R);D (RLC), WB (R);29;"6'0""";£120K p/w;£36M - £43M;Reasonable;Very Strong;6.94;0;1304;3;434.666666666667;0.2;0.82;0.82;2.18;0.1;17%;0.0455555555555556;1.2;0.6;1.0;44%;3;0;0;5;0.3;2.25;0.2;88%;54.7;0.3;2.1;8.7;5.7;0.8;14;5.7;0.8;15;1.7;10;1;13.5;10.1;1.9;2.9;9.0;93;29;0;0.6;0.9;0.3;6;1;0;13.6;30.5;No recurring injuries;High;4.0;43;0.2;0;0;1;0;0;0;0;0;0;0;2.8;2.4
Premier League;Man Utd;Kobbie Mainoo;M (C);AM (C);DM, M/AM (C);21;"6'0""";£61K p/w;£59M - £79M;Fairly Strong;Very Strong;6.98;0;1317;3;439;0.2;2.13;2.13;0.87;0.1;9%;0.0665625;2.2;0.8;1.5;34%;2;0;0;0;0.0;1.95;0.1;89%;70.6;0.2;2.5;8.7;0.8;0.4;54;0.8;0.4;55;0.3;3;1;8.5;8.1;1.5;3.1;8.4;79;28;0;0.5;0.9;0.5;5;0;0;12.7;22.6;No recurring injuries;Low;2.5;49;0.0;0;0;0;0;0;0;0;0;0;0;2.6;2.5
Premier League;Crystal Palace;Christantus Uche;AM (C);;M/AM (C), ST (C);23;"6'3""";£44K - £60K p/w;£29M - £39M;Reasonable;Very Strong;6.73;1;1342;3;447.333333333333;0.2;2.81;2.81;0.19;0.2;15%;0.1405;1.3;0.7;0.5;50%;0;0;0;1;0.1;1.95;0.1;91%;52.0;0.2;1.5;2.3;0.9;0.2;23;0.9;0.2;23;1.5;11;3;8.9;3.9;1.0;2.0;6.0;75;20;0;0.3;0.6;0.2;10;0;1;12.9;9.5;No recurring injuries;Below Average;3.6;30;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.3
Premier League;Spurs;Lucas Bergvall;M (C);DM;DM, M/AM (C);20;"6'1""";£56K - £64K p/w;£67M - £82M;Weak;Very Strong;7.16;3;1403;3;467.666666666667;0.2;1.72;1.72;1.28;0.1;11%;0.0614285714285714;1.8;0.9;1.2;50%;2;0;0;4;0.3;3.82;0.2;91%;74.8;0.4;2.2;7.2;7.9;1.5;19;0.9;0.3;36;1.2;6;1;12.1;9.2;1.6;2.9;10.0;61;41;1;0.6;0.2;0.4;20;6;0;13.2;21.8;No recurring injuries;Below Average;2.7;48;0.1;0;0;0;0;0;0;0;0;0;0;1.9;0.6
Premier League;Ipswich;Tomáš Souček;DM, M (C);;DM, M (C);31;"6'4""";£62K - £82K p/w;Not for Sale;Reasonable;Very Strong;6.85;0;1477;3;492.333333333333;0.2;1.25;1.25;1.75;0.1;10%;0.0416666666666667;1.8;0.9;1.4;47%;1;0;0;0;0.0;1.06;0.1;88%;47.0;0.0;0.9;4.4;0.1;0.0;0;0.1;0.0;0;0.2;3;2;6.0;6.8;1.3;2.2;3.6;72;29;7;0.9;1.4;0.7;7;0;0;12.3;16.3;No recurring injuries;Above Average;3.9;64;0.9;0;0;1;0;0;0;0;0;0;0;0.8;1.8
Premier League;Nott'm Forest;Elliot Anderson;DM;AM (LC);DM, M (C), AM (LC);24;"5'10""";£165K - £185K p/w;£113M;Fairly Strong;Very Strong;6.95;0;1522;3;507.333333333333;0.2;2;2;1;0.1;8%;0.0526315789473684;2.2;0.8;1.8;37%;1;0;0;1;0.1;1.26;0.1;92%;70.6;0.1;1.1;6.4;1.4;0.1;4;0.5;0.1;11;0.6;4;0;8.1;7.5;1.4;2.8;8.4;73;33;1;0.4;1.3;0.2;11;1;0;13.6;20.0;No recurring injuries;Below Average;1.6;26;0.1;0;0;0;0;0;0;0;0;0;0;1.2;1.1
First Division;Villarreal;Nicolas Pépé;AM (R);AM (L);AM (RL);31;"6'0""";£43K - £64K p/w;£16M - £25M;Very Strong;Weak;6.91;0;1018;2;509;0.2;1.33;1.33;0.67;0.1;13%;0.0886666666666667;1.3;0.5;0.5;40%;1;0;0;1;0.1;0.95;0.1;87%;48.6;0.1;2.1;3.7;4.2;1.2;29;3.1;1.1;37;4.5;19;4;22.8;5.6;1.5;3.0;9.5;85;20;0;0.4;1.0;0.0;13;1;0;12.0;13.8;No recurring injuries;Above Average;2.3;38;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.7
Serie A;Celesti;Gustav Isaksen;AM (R);;M/AM (R);25;"5'10""";£57K - £65K p/w;£26M - £38M;Very Strong;Reasonable;7.01;2;1533;3;511;0.2;3.61;3.61;-0.61;0.2;9%;0.106176470588235;2.0;0.6;0.8;32%;3;0;0;1;0.1;1.75;0.1;90%;45.7;0.1;1.9;4.1;2.8;0.4;14;2.7;0.4;15;3.8;26;10;15.9;5.3;2.1;2.5;11.1;83;42;1;0.1;0.6;0.0;34;4;0;12.1;14.7;No recurring injuries;Very Low;3.6;34;0.1;0;0;0;0;0;0;0;0;0;0;1.4;1.2
Bundesliga;RB Leipzig;Christoph Baumgartner;AM (C);AM (RL);M (C), AM (RLC);27;"5'11""";£57K - £89K p/w;£11M - £14.5M;Reasonable;Very Strong;6.62;0;1539;3;513;0.2;4.71;3.94;-1.71;0.3;9%;0.1471875;1.9;0.9;0.6;47%;1;1;100;4;0.2;3.37;0.2;92%;15.1;0.5;0.4;1.1;0.4;0.0;0;0.1;0.0;0;0.1;14;2;12.0;10.3;0.1;0.1;0.8;50;2;0;0.0;0.0;0.0;5;3;0;2.6;1.8;No recurring injuries;Below Average;0.4;43;0.0;0;0;0;0;0;0;0;0;0;0;1.6;1.0
First Division;A. Madrid;Giuliano Simeone;AM (R);WB (R), ST (C);WB/M (R), AM (RL), ST (C);23;"5'11""";£45K - £61K p/w;£76M - £92M;Reasonable;Very Strong;6.90;0;1558;3;519.333333333333;0.2;3.04;3.04;-0.04;0.2;13%;0.126666666666667;1.4;0.8;0.6;58%;0;0;0;2;0.1;1.36;0.1;84%;50.8;0.1;1.6;4.9;4.3;0.8;18;4.3;0.8;19;3.4;17;10;15.8;7.0;2.1;2.1;10.3;76;49;1;0.5;0.5;0.1;27;3;0;12.5;18.9;No recurring injuries;Below Average;3.5;50;0.1;0;0;0;0;0;0;0;0;0;0;1.8;0.9
Premier League;Benfica;Fredrik Aursnes;M (RC);;M (RC), AM (R);30;"5'10""";£46.5K - £67K p/w;£22M - £35M;Reasonable;Very Strong;6.67;0;1572;3;524;0.2;1.9;1.9;1.1;0.1;11%;0.0678571428571429;1.6;0.7;1.1;43%;0;0;0;1;0.1;3.57;0.2;89%;23.0;0.5;0.7;2.0;1.3;0.2;18;0.1;0.1;50;0.2;7;0;8.9;10.8;0.2;0.7;1.3;40;10;0;0.2;0.2;0.2;5;2;0;4.8;5.0;No recurring injuries;Very Low;0.5;67;0.1;0;0;0;0;0;0;0;0;0;0;1.7;0.9
Premier League;Nott'm Forest;Dan Ndoye;AM (R);WB/M (R), AM (L);WB/M (R), AM (RL);26;"6'0""";£87K - £98K p/w;£17.5M - £28M;Weak;Very Strong;6.64;0;1596;3;532;0.2;2.95;2.95;0.05;0.2;9%;0.0921875;1.8;1.0;0.8;56%;0;0;0;2;0.1;2.95;0.2;89%;53.5;0.4;1.6;2.9;4.8;0.6;11;4.8;0.6;12;6.3;50;16;17.0;3.6;0.3;0.8;4.1;67;9;0;0.2;0.2;0.1;22;0;0;12.9;11.5;No recurring injuries;Below Average;4.8;37;0.1;0;0;0;0;0;0;0;0;0;0;1.4;1.1
First Division;Real Hispalis;Antony;AM (R);;M/AM (R);26;"5'8""";£58K - £84K p/w;£40M - £63M;Very Strong;Weak;7.08;0;1600;3;533.333333333333;0.2;4.54;4.54;-1.54;0.3;8%;0.116410256410256;2.2;0.7;0.4;33%;0;1;100;2;0.1;3.34;0.2;88%;56.8;0.2;1.9;3.9;4.1;1.1;27;4.1;1.1;27;3.6;18;10;12.8;7.1;1.7;2.1;10.3;75;40;0;0.3;0.5;0.0;19;1;0;13.0;19.2;No recurring injuries;Below Average;2.9;43;0.1;0;0;0;0;0;0;0;0;0;0;1.9;0.8
Serie A;Casciavit;Pervis Estupiñán;D (L);M (L);D/WB/M (L);28;"5'9""";£77K - £89K p/w;£15.5M - £23M;Very Strong;Weak;7.08;2;1092;2;546;0.2;0.51;0.51;1.49;0.0;100%;0.255;0.2;0.2;0.0;100%;0;0;0;4;0.3;1.74;0.1;87%;57.9;0.3;2.5;5.8;7.5;1.2;16;7.5;1.2;16;3.4;10;0;20.7;9.3;2.2;4.1;11.5;73;37;2;0.6;0.9;0.2;19;2;0;12.3;27.4;No recurring injuries;Very Low;2.5;57;0.0;0;0;1;0;0;0;0;0;0;0;2.0;1.1
Ligue 1 McDonald's;Paris SG;Warren Zaïre-Emery;M (C);D/WB (R);D/WB (R), DM, M (C);20;"5'10""";£145K - £185K p/w;£213M - £255M;Fairly Strong;Very Strong;6.78;0;1665;3;555;0.2;4.15;4.15;-1.15;0.2;9%;0.125757575757576;1.8;0.5;0.8;27%;2;0;0;5;0.3;4.67;0.3;90%;26.3;0.4;1.0;2.5;0.5;0.2;44;0.5;0.2;44;0.3;13;2;9.9;11.8;0.6;0.6;2.9;75;16;0;0.1;0.2;0.1;4;0;0;4.9;7.1;No recurring injuries;Low;0.8;64;0.0;0;0;0;0;0;0;0;0;0;0;2.2;0.4
Premier League;Fulham;Alex Iwobi;M (C);AM (R);M (C), AM (RLC);30;"5'11""";£90K - £100K p/w;£34M;Weak;Very Strong;6.88;0;1134;2;567;0.2;3.53;3.53;-1.53;0.3;6%;0.100857142857143;2.8;1.4;1.0;51%;1;0;0;3;0.2;3.3;0.3;88%;59.8;0.8;2.1;7.0;5.2;1.0;19;5.0;1.0;21;3.6;14;4;14.0;8.2;2.4;3.0;11.9;77;39;3;0.5;0.6;0.3;11;1;0;13.5;20.4;No recurring injuries;Below Average;3.7;52;0.1;0;0;0;0;0;0;0;0;0;0;1.3;1.8
Serie A;Sassuolo;Domenico Berardi;AM (R);;AM (R);32;"6'0""";£59K - £98K p/w;Not for Sale;Very Strong;Reasonable;7.09;3;1163;2;581.5;0.2;3.09;3.09;-1.09;0.2;7%;0.103;2.3;1.1;0.6;47%;0;1;100;3;0.2;1.94;0.2;90%;48.3;0.3;2.0;4.4;2.6;0.6;23;2.6;0.6;24;3.5;13;5;11.9;5.0;1.2;2.3;8.4;71;21;1;0.2;0.5;0.0;17;2;0;9.9;13.7;No recurring injuries;Very Low;1.7;18;0.1;0;0;0;0;0;0;0;0;0;0;0.8;1.2
Bundesliga;VfL Wolfsburg;Christian Eriksen;AM (C);DM, AM (RL);DM, M (C), AM (RLC);34;"5'10""";£30.5K - £47.5K p/w;Not for Sale;Strong;Very Strong;6.92;0;1185;2;592.5;0.2;2.15;2.15;-0.15;0.2;7%;0.0796296296296296;2.1;0.8;0.8;37%;2;0;0;0;0.0;1.88;0.1;88%;48.0;0.6;2.2;4.6;4.9;0.9;18;1.1;0.3;27;0.9;9;4;16.7;12.2;0.8;1.4;5.2;83;12;1;0.1;0.4;0.0;5;0;0;11.5;10.1;No recurring injuries;Low;1.8;21;0.0;0;0;0;0;0;0;0;0;0;0;0.8;1.7
Ligue 1 McDonald's;AS Monaco;Lamine Camara;DM;;DM, M (C);22;"5'8""";£13.5K - £15.75K p/w;£16.5M - £21M;Reasonable;Very Strong;6.61;0;1195;2;597.5;0.2;0.47;0.47;1.53;0.0;29%;0.0671428571428571;0.5;0.2;0.4;43%;0;0;0;2;0.2;1.9;0.1;89%;7.8;0.5;0.4;0.8;0.5;0.2;28;0.4;0.2;40;0.3;8;1;14.2;11.1;0.2;0.5;1.4;40;5;0;0.0;0.0;0.0;6;3;0;2.3;3.1;No recurring injuries;Below Average;0.4;20;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.8
Premier League;Everton;Iliman N'Diaye;AM (L);M (RL), AM (R), ST (C);M (RL), AM (RLC), ST (C);26;"5'9""";£105K - £140K p/w;£37M - £49M;Fairly Strong;Very Strong;6.61;0;1322;2;661;0.1;1.64;1.64;0.36;0.1;8%;0.0656;1.7;0.9;1.1;52%;1;0;0;0;0.0;1.82;0.1;85%;38.1;0.3;1.4;5.7;3.2;1.0;31;3.2;1.0;32;4.2;25;1;12.9;8.8;2.0;3.1;15.7;63;46;0;0.3;1.2;0.1;10;1;0;13.7;20.5;No recurring injuries;Below Average;3.7;22;0.0;0;0;1;0;0;0;0;0;0;0;1.8;1.6
Premier League;Sporting CP;Morten Hjulmand;DM;;DM, M (C);27;"6'1""";£57K - £76K p/w;£60M;Reasonable;Very Strong;7.29;2;1335;2;667.5;0.1;1.05;1.05;0.95;0.1;20%;0.105;0.7;0.3;0.1;40%;0;0;0;3;0.2;2.61;0.2;92%;69.1;0.2;0.7;8.4;0.1;0.0;0;0.1;0.0;0;0.2;8;0;3.7;15.2;0.9;2.8;6.4;74;19;0;0.5;0.7;0.4;16;6;0;12.2;12.5;No recurring injuries;Below Average;2.7;55;0.2;0;0;0;0;0;0;0;0;0;0;2.0;0.7
Premier League;Spurs;Pape Matar Sarr;M (C);AM (C);DM, M/AM (C);24;"6'0""";£91K - £105K p/w;£60M - £77M;Reasonable;Very Strong;6.90;0;1343;2;671.5;0.1;1.05;1.05;0.95;0.1;7%;0.035;2.0;0.9;1.8;43%;1;0;0;0;0.0;0.66;0.0;90%;66.7;0.1;1.3;7.9;0.1;0.1;50;0.1;0.1;50;0.3;1;0;6.8;9.2;1.6;3.0;7.7;65;37;0;0.4;0.6;0.2;6;2;0;12.6;15.2;No recurring injuries;Above Average;2.8;64;0.3;0;0;1;0;0;0;0;0;0;0;1.7;0.7
Premier League;Aston Villa;Ian Maatsen;WB (L);;D/WB (L);24;"5'10""";£79K - £92K p/w;£48M - £69M;Very Strong;Reasonable;6.61;0;1383;2;691.5;0.1;1.27;1.27;0.73;0.1;15%;0.0976923076923077;0.8;0.3;0.7;31%;1;0;0;0;0.0;0.55;0.0;92%;65.1;0.1;0.7;7.0;1.6;0.2;12;0.8;0.1;15;0.8;3;1;7.7;9.2;1.2;3.3;7.2;72;25;0;0.3;0.6;0.1;24;2;0;12.7;18.4;No recurring injuries;Below Average;2.5;37;0.1;0;0;0;0;0;0;0;0;0;0;1.6;1.4
Serie A;Parthenope;Matteo Politano;AM (R);M (R), AM (LC);M (R), AM (RLC);33;"5'7""";£93K - £110K p/w;£4.9M - £7.2M;Very Strong;Reasonable;6.90;0;1411;2;705.5;0.1;3.16;3.16;-1.16;0.2;6%;0.09875;2.0;0.6;0.8;28%;1;0;0;1;0.1;2.52;0.2;90%;53.7;0.3;2.5;4.7;11.2;2.4;21;3.7;0.8;21;2.7;14;12;24.7;4.7;1.7;2.4;11.8;79;33;0;0.4;0.3;0.0;14;0;0;11.4;17.0;No recurring injuries;Very Low;3.1;13;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.0
Premier League;Wolves;Ladislav Krejčí;D (C);DM;D (C), DM;27;"6'3""";£95K - £130K p/w;£23M - £30M;Very Strong;Reasonable;6.71;0;1419;2;709.5;0.1;1.91;0.37;0.09;0.1;29%;0.272857142857143;0.4;0.3;0.2;71%;0;2;0;0;0.0;0.07;0.0;90%;52.3;0.0;0.1;4.4;0.1;0.1;50;0.0;0.0;0;0.1;1;0;5.8;9.3;0.6;2.5;1.7;53;17;0;0.8;1.3;0.7;5;1;0;10.6;7.7;No recurring injuries;Average;5.8;76;1.3;0;0;0;0;0;0;0;0;0;0;1.0;1.8
Serie A;Parthenope;André-Franck Zambo Anguissa;M (C);DM;DM, M (C);31;"6'0""";£87K - £140K p/w;Not for Sale;Reasonable;Very Strong;7.07;2;1479;2;739.5;0.1;1.54;1.54;0.46;0.1;14%;0.11;0.9;0.2;0.3;21%;1;0;0;2;0.1;1.13;0.1;92%;68.3;0.0;1.3;8.3;0.4;0.1;28;0.4;0.1;29;0.1;6;0;5.6;14.5;0.9;2.3;5.9;68;22;0;0.3;0.9;0.1;12;2;1;11.8;12.0;No recurring injuries;Very Low;1.5;58;0.1;0;0;0;0;0;0;0;0;0;0;1.3;0.9
Premier League;Chelsea;Moisés Caicedo;DM;;DM, M (C);25;"5'10""";£135K - £155K p/w;£71M - £106M;Weak;Very Strong;6.87;0;1528;2;764;0.1;1.96;1.96;0.04;0.1;6%;0.06125;1.9;0.7;1.2;38%;1;0;0;0;0.0;1.52;0.1;91%;54.2;0.2;1.3;3.5;0.5;0.2;37;0.5;0.2;38;0.5;5;1;5.9;7.4;1.7;2.9;7.7;74;39;0;0.2;0.6;0.2;10;1;0;12.5;14.5;No recurring injuries;Below Average;1.6;29;0.1;0;0;0;0;0;0;0;0;0;0;1.8;0.8
Premier League;West Ham;Franck Kessié;M (C);;DM, M (C);29;"6'0""";£135K - £185K p/w;£26M - £41M;Reasonable;Very Strong;6.92;1;1530;2;765;0.1;2.41;1.64;-0.41;0.1;6%;0.0753125;1.9;0.5;1.5;28%;1;1;100;1;0.1;1.27;0.1;92%;55.5;0.2;1.0;4.2;0.8;0.3;35;0.8;0.3;36;0.3;6;0;6.6;9.7;1.6;3.6;9.2;74;38;5;0.7;0.9;0.4;17;2;0;13.1;15.5;No recurring injuries;Below Average;2.2;47;0.1;0;0;0;0;0;0;0;0;0;0;1.3;0.9
Serie A;Casciavit;Alexis Saelemaekers;M (R);AM (L);WB/M (R), AM (RL);27;"5'11""";£70K - £82K p/w;£38M - £47M;Fairly Strong;Very Strong;7.21;1;1708;2;854;0.1;1.32;1.32;0.68;0.1;15%;0.101538461538462;0.7;0.3;0.3;46%;0;0;0;5;0.3;4.05;0.2;89%;53.5;0.1;2.8;6.6;9.6;1.6;16;6.8;1.1;16;2.7;21;3;17.5;11.1;2.7;3.2;9.2;78;65;4;0.5;0.8;0.3;31;2;0;11.9;24.3;No recurring injuries;Very Low;2.2;32;0.1;0;0;0;0;0;0;0;0;0;0;1.8;0.9
Ligue 1 McDonald's;AS Monaco;Eric Dier;D (C);DM;D (C), DM;32;"6'3""";£51K - £86K p/w;Not for Sale;Reasonable;Very Strong;7.21;2;1780;2;890;0.1;1.63;0.86;0.37;0.1;25%;0.20375;0.4;0.3;0.1;63%;0;1;100;0;0.0;1.34;0.1;93%;50.1;0.1;0.3;2.6;0.1;0.1;100;0.1;0.1;100;0.1;7;0;3.6;13.7;0.8;3.1;2.4;71;21;6;0.9;1.2;0.8;9;3;0;9.9;4.0;No recurring injuries;Below Average;7.0;79;1.4;0;0;0;0;0;0;0;0;0;0;1.3;0.9
First Division;A. Bilbao;Mikel Jauregizar;M (C);AM (C);DM, M/AM (C);23;"5'10""";£65K - £98K p/w;£140M;Fairly Strong;Very Strong;7.19;3;1818;2;909;0.1;1.53;1.53;0.47;0.1;5%;0.0392307692307692;1.9;0.7;1.5;36%;2;0;0;5;0.2;2.4;0.1;93%;75.7;0.3;1.1;9.5;0.4;0.2;62;0.4;0.2;63;0.2;12;0;4.8;14.0;0.8;2.8;6.3;74;23;1;0.2;0.6;0.1;10;2;0;12.3;16.5;No recurring injuries;Below Average;1.2;44;0.0;0;0;0;0;0;0;0;0;0;0;1.8;1.3
First Division;A. Bilbao;Dani Vivian;D (C);DM;D (C), DM;27;"6'0""";£40.5K - £67K p/w;£71M - £111M;Reasonable;Very Strong;6.91;1;1868;2;934;0.1;0.73;0.73;1.27;0.0;25%;0.09125;0.4;0.2;0.1;63%;0;0;0;1;0.0;0.89;0.0;93%;53.5;0.1;0.2;2.7;0.0;0.0;0;0.0;0.0;0;0.0;2;1;2.6;16.2;0.3;2.9;2.6;64;11;4;0.8;1.0;0.4;7;2;0;9.7;4.6;No recurring injuries;Below Average;4.2;71;0.4;0;0;1;0;0;0;0;0;0;0;1.8;1.3
Premier League;Crystal Palace;Daniel Muñoz;D/WB (R);;D/WB/M (R);30;"5'11""";£51K - £73K p/w;£16M - £21M;Weak;Very Strong;6.72;0;1073;1;1073;0.1;1.16;1.16;-0.16;0.1;14%;0.165714285714286;0.6;0.4;0.3;71%;0;0;0;2;0.2;0.63;0.1;91%;72.4;0.2;0.5;9.9;1.3;0.3;18;1.3;0.3;20;1.0;6;2;8.6;8.8;1.4;2.8;6.5;89;19;0;0.7;1.4;0.5;18;0;0;12.9;19.4;No recurring injuries;Below Average;3.4;63;0.3;0;0;1;0;0;0;0;0;0;0;0.7;1.2
Premier League;Aston Villa;Amadou Onana;DM;;DM, M (C);25;"6'5""";£145K - £165K p/w;£88M - £125M;Fairly Strong;Very Strong;6.91;1;1094;1;1094;0.1;0.79;0.79;0.21;0.1;8%;0.0607692307692308;1.1;0.6;0.5;54%;0;0;0;1;0.1;1.24;0.1;92%;74.9;0.2;1.4;7.2;0.1;0.0;0;0.1;0.0;0;0.2;3;2;7.4;8.1;2.1;3.0;9.0;78;32;1;0.7;1.2;0.4;14;2;0;13.3;16.9;No recurring injuries;High;3.3;58;0.3;0;0;0;0;0;0;0;0;0;0;1.5;1.6
Bundesliga;Sport-Club Freiburg;Wilfried Gnonto;AM (L);;AM (RLC), ST (C);23;"5'7""";£61K - £69K p/w;£28M - £42M;Reasonable;Very Strong;6.84;1;1099;1;1099;0.1;2.37;2.37;-1.37;0.2;4%;0.09875;2.0;0.7;0.9;33%;0;0;0;1;0.1;1.62;0.1;86%;40.3;0.3;1.8;3.0;3.3;0.7;20;3.3;0.7;20;3.1;17;11;18.0;3.2;1.1;1.3;6.8;67;21;1;0.2;0.4;0.0;18;2;0;12.0;12.4;No recurring injuries;Below Average;3.4;27;0.1;0;0;0;0;0;0;0;0;0;0;1.5;1.1
Serie A;Juventus;Federico Gatti;D (C);;D (C);28;"6'4""";£86K - £100K p/w;£30M - £43M;Reasonable;Very Strong;6.84;0;1130;1;1130;0.1;0.84;0.84;0.16;0.1;8%;0.07;1.0;0.4;0.4;42%;1;0;0;0;0.0;0.35;0.0;95%;52.8;0.2;0.0;2.3;0.0;0.0;0;0.0;0.0;0;0.2;7;0;3.4;17.2;0.6;2.1;3.1;70;10;1;0.3;0.4;0.3;12;5;0;10.0;3.8;No recurring injuries;Very Low;5.9;73;1.4;0;0;0;0;0;0;0;0;0;0;1.5;1.0
Serie A;Bergamo;Raoul Bellanova;WB (R);;D/WB/M (R);26;"6'2""";£53K - £61K p/w;£44M - £63M;Reasonable;Very Strong;7.31;3;1136;1;1136;0.1;1.58;1.58;-0.58;0.1;9%;0.143636363636364;0.9;0.3;0.1;36%;0;0;0;4;0.3;1.98;0.2;86%;46.2;0.5;2.5;4.8;5.5;0.9;15;5.5;0.9;16;2.4;15;0;10.4;10.5;2.7;2.5;10.7;92;37;2;0.4;1.0;0.6;10;0;0;11.6;22.3;No recurring injuries;Very Low;2.4;57;0.2;0;0;0;0;0;0;0;0;0;0;1.3;1.0
