Division;Player;Position;Age;Height;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Team Goals;Assists;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;OP-Crs A/90;OP-Crs C/90;Drb/90;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio
Premier League;Fabian Schär;D (C);34;"6'2""";Fairly Strong;Very Strong;6.77;0;1774;1;1774;0.48;0.48;0.52;0.0;33%;0.16;0.2;0.1;0.1;33%;0;0;0;33;0;0;0.0;94%;55.7;0.0;0.0;3.6;0.0;0.0;0.0;0.0;0.0;0;3.7;9.5;0.5;3.3;1.9;50;18;1;0.7;0.6;0.5;11;1;0;10.8;6.4;No recurring injuries;Above Average;4.9;58;0.6;0;0;2;0;0;0;0;0;0;0
Premier League;Alan Varela;DM, M (C);24;"5'10""";Fairly Strong;Very Strong;6.83;1;2892;2;1446;2.35;2.35;-0.35;0.1;9%;0.106818181818182;0.7;0.2;0.2;27%;0;0;0;66;8;5.94;0.2;93%;49.1;0.3;0.7;6.6;0.1;0.0;0.1;0.0;0.2;1;7.6;11.4;1.1;2.2;5.0;79;43;5;0.3;0.6;0.2;31;9;0;10.3;13.2;No recurring injuries;Below Average;1.2;57;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Odysseas Vlachodimos;GK;32;"6'3""";Reasonable;Very Strong;6.63;2;2880;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;30;0;0;0.0;82%;23.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0;8.2;4.2;0.0;0.1;0.0;0;1;0;0.0;2.1;0.0;0;0;0;5.4;0.0;No recurring injuries;Below Average;0.0;0;0.0;9;-2.49;2;70;23;62;11;41;1;0
Premier League;Ian Maatsen;D/WB (L);24;"5'10""";Very Strong;Reasonable;6.82;0;2807;1;2807;0.51;0.51;0.49;0.0;10%;0.051;0.3;0.1;0.3;30%;1;0;0;49;3;3.35;0.1;92%;71.6;0.1;0.9;7.0;2.5;0.4;1.1;0.2;0.9;3;9.8;10.4;2.5;3.6;8.9;81;98;8;0.4;0.8;0.2;35;5;1;12.8;17.4;No recurring injuries;Below Average;2.4;51;0.3;0;0;0;0;0;0;0;0;0;0
Premier League;Alex Iwobi;M (C), AM (RLC);30;"5'11""";Weak;Very Strong;6.76;1;1565;0;0;1.98;1.98;-1.98;0.1;0%;0.0825;1.4;0.5;0.6;33%;0;0;0;14;3;3.14;0.2;86%;53.3;0.5;1.9;5.0;2.7;0.7;2.7;0.7;3.5;1;13.5;8.1;2.3;2.8;14.7;82;49;0;0.5;0.6;0.2;12;2;0;13.5;22.0;No recurring injuries;Below Average;5.9;47;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Robert Sánchez;GK;28;"6'6""";Fairly Strong;Very Strong;6.96;3;5250;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;94;0;0;0.0;92%;26.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0;3.7;7.4;0.0;0.3;0.0;0;0;2;0.0;1.3;0.0;0;0;0;6.7;0.1;No recurring injuries;Below Average;0.0;0;0.0;21;7.07;3;77;74;103;24;61;0;0
First Division;Stole Dimitrievski;GK;32;"6'2""";Reasonable;Very Strong;6.45;0;1047;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;17;0;0;0.0;78%;21.9;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0;5.4;5.2;0.0;0.0;0.0;0;2;0;0.0;2.2;0.0;1;1;0;6.2;0.0;No recurring injuries;High;0.0;0;0.0;1;-5.88;0;53;10;11;3;22;2;0
Ligue 1 McDonald's;José Ángel Carmona;D (RC), WB (R);24;"6'0""";Reasonable;Very Strong;7.07;1;2051;0;0;0.99;0.99;-0.99;0.0;0%;0.066;0.7;0.1;0.3;13%;1;0;0;55;2;1.25;0.1;94%;66.2;0.3;0.7;9.5;1.0;0.3;1.0;0.3;0.4;2;12.5;11.9;1.8;3.4;7.6;72;57;2;0.4;0.5;0.1;30;3;0;11.7;15.4;No recurring injuries;Below Average;4.0;63;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Emile Smith Rowe;M (C), AM (RLC);25;"6'0""";Reasonable;Very Strong;6.91;4;3138;10;313.8;8.06;8.06;1.94;0.2;13%;0.107466666666667;2.2;0.7;1.1;35%;3;0;0;39;5;7.13;0.2;87%;46.2;0.5;1.6;3.3;3.8;0.7;1.8;0.3;3.3;11;12.1;4.6;0.7;1.6;5.0;67;39;1;0.1;0.2;0.1;24;1;0;12.6;11.4;No recurring injuries;Above Average;3.1;13;0.0;0;0;1;0;0;0;0;0;0;0
Bundesliga;Mark Flekken;GK;32;"6'5""";Fairly Strong;Very Strong;6.88;5;4020;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;48;0;0;0.0;85%;23.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.7;3.7;0.0;0.0;0.0;0;4;0;0.0;2.2;0.0;0;0;0;5.7;0.0;Recurring torn anterior cruciate ligament;Very High;0.0;0;0.0;13;7.96;0;72;31;70;12;42;4;0
Premier League;Pape Matar Sarr;DM, M/AM (C);23;"6'0""";Reasonable;Very Strong;6.92;0;2586;1;2586;2.05;2.05;-1.05;0.1;2%;0.0465909090909091;1.5;0.6;1.3;36%;1;0;0;40;1;1.53;0.1;92%;57.8;0.1;1.1;5.8;0.2;0.0;0.2;0.0;0.2;0;6.6;8.3;2.0;2.8;6.7;76;75;3;0.5;0.9;0.3;7;0;0;12.4;15.8;No recurring injuries;Above Average;1.9;48;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Nick Pope;GK;34;"6'6""";Reasonable;Very Strong;6.62;1;2610;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;40;0;0;0.0;87%;24.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0;6.0;8.2;0.0;0.2;0.0;0;2;0;0.0;2.8;0.0;1;1;0;5.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;4;-17.12;1;67;49;44;14;53;2;0
Premier League;Harvey Elliott;M (C), AM (RLC);23;"5'7""";Very Strong;Reasonable;6.95;3;3311;15;220.733333333333;10.97;10.2;4.03;0.3;19%;0.137125;2.2;1.1;1.0;51%;2;1;100;58;10;6.62;0.2;89%;51.2;0.5;1.9;4.5;4.6;1.1;1.9;0.5;2.9;14;12.1;5.8;0.7;1.7;4.7;58;43;0;0.3;0.3;0.1;24;2;0;12.8;12.0;No recurring injuries;Average;2.0;18;0.0;0;0;0;0;0;0;0;0;0;0
Bundesliga;Rasmus Kristensen;D (RC), WB (R);28;"6'2""";Reasonable;Very Strong;7.13;3;3035;1;3035;3.22;3.22;-2.22;0.1;5%;0.146363636363636;0.7;0.1;0.2;23%;0;0;0;42;3;2.46;0.1;92%;72.3;0.2;0.9;7.4;1.4;0.1;1.4;0.1;0.6;1;14.6;12.9;2.3;3.3;7.1;75;101;6;0.4;1.4;0.7;44;9;2;11.7;17.6;No recurring injuries;Average;4.1;76;0.5;0;0;1;0;0;0;0;0;0;0
Eredivisie;Steven Berghuis;M (R), AM (RC);34;"6'0""";Very Strong;Weak;6.97;5;2974;7;424.857142857143;8.34;8.34;-1.34;0.3;8%;0.0926666666666667;2.7;1.1;0.8;41%;4;1;100;45;10;7.04;0.2;89%;45.9;0.1;1.9;3.8;9.0;1.9;2.9;0.7;3.4;12;18.3;4.5;1.1;1.6;10.0;77;48;0;0.4;0.5;0.0;39;3;0;11.5;16.6;No recurring injuries;Average;3.4;38;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Georginio Rutter;AM (RC), ST (C);24;"6'0""";Very Strong;Strong;6.71;0;3143;8;392.875;10.2;9.43;-2.2;0.3;11%;0.145714285714286;2.0;0.8;0.9;41%;0;1;100;61;6;5.21;0.1;88%;53.1;0.4;1.7;3.8;1.1;0.3;1.1;0.3;1.6;10;9.4;2.6;0.3;0.9;4.0;45;22;0;0.1;0.2;0.1;15;1;0;12.4;8.7;No recurring injuries;Below Average;3.3;33;0.1;0;0;0;0;0;0;0;0;0;0
Bundesliga;Yan Diomandé;M/AM (RL);19;"6'0""";Strong;Very Strong;7.06;3;1854;7;264.857142857143;5.63;5.63;1.37;0.3;13%;0.108269230769231;2.5;1.2;0.9;46%;2;0;0;31;2;2.39;0.1;91%;48.7;0.1;1.6;3.6;4.0;0.9;3.7;0.9;4.4;10;14.6;5.7;1.8;3.2;10.6;82;45;1;0.3;0.6;0.0;18;0;0;12.0;16.5;No recurring injuries;Average;3.4;34;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Destiny Udogie;D/WB (L);23;"6'2""";Very Strong;Weak;7.04;7;3725;1;3725;2.9;2.9;-1.9;0.1;3%;0.0743589743589744;0.9;0.3;0.5;36%;0;0;0;53;8;10.23;0.2;87%;54.3;0.7;2.5;6.2;9.1;1.8;9.1;1.8;2.4;6;17.4;9.9;3.0;3.5;8.8;71;174;4;0.8;0.8;0.4;40;4;0;13.6;31.5;No recurring injuries;Below Average;3.3;60;0.4;0;0;1;0;0;0;0;0;0;0
Premier League;Evanilson;ST (C);26;"6'0""";Fairly Strong;Very Strong;6.86;3;2245;15;149.666666666667;9.5;8.73;5.5;0.4;33%;0.206521739130435;1.8;1.0;0.6;54%;2;1;100;36;3;2.26;0.1;86%;21.8;0.2;1.0;1.0;0.6;0.3;0.6;0.3;0.6;33;5.3;2.2;0.3;0.9;3.0;64;11;0;0.1;0.0;0.1;40;1;0;11.6;8.3;No recurring injuries;Above Average;7.8;25;0.2;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Timothy Weah;D/WB/M (R), AM (RL);26;"6'0""";Reasonable;Very Strong;6.94;5;3075;2;1537.5;0.97;0.97;1.03;0.0;22%;0.107777777777778;0.3;0.1;0.0;56%;0;0;0;51;4;2.64;0.1;87%;50.4;0.2;1.7;5.4;6.7;1.2;6.7;1.2;3.5;7;16.4;9.7;2.3;3.0;10.7;80;96;4;0.5;1.1;0.1;33;6;0;12.5;25.0;No recurring injuries;Average;3.0;52;0.3;0;0;0;0;0;0;0;0;0;0
Premier League;Calvin Bassey;D (LC);26;"6'1""";Very Strong;Weak;6.93;1;3063;2;1531.5;2.21;2.21;-0.21;0.1;9%;0.0960869565217391;0.7;0.4;0.1;61%;0;0;0;44;1;1.51;0.0;91%;46.0;0.1;0.3;2.8;0.1;0.1;0.1;0.1;0.1;3;4.7;8.5;0.5;2.7;2.2;86;21;3;0.8;1.4;0.8;11;1;0;10.5;6.1;No recurring injuries;Below Average;6.2;69;1.3;0;0;1;0;0;0;0;0;0;0
Premier League;Rico Henry;D/WB (L);28;"5'7""";Very Strong;Weak;6.96;1;2761;3;920.333333333333;1.03;1.03;1.97;0.0;18%;0.0605882352941177;0.6;0.3;0.4;53%;1;0;0;52;3;2.36;0.1;89%;50.1;0.3;0.9;8.3;3.8;0.6;3.7;0.6;2.2;2;10.7;9.4;2.6;3.2;9.0;74;109;3;0.8;1.0;0.4;20;0;0;12.7;17.7;Recurring dislocated shoulder;Very High;2.5;43;0.3;0;0;0;0;0;0;0;0;0;0
Bundesliga;Jarell Quansah;D (RC);23;"6'4""";Weak;Very Strong;6.90;3;3584;0;0;1.95;1.95;-1.95;0.0;0%;0.121875;0.4;0.0;0.2;6%;1;0;0;51;2;1.07;0.0;92%;53.4;0.1;0.2;3.3;0.0;0.0;0.0;0.0;0.1;1;3.1;14.0;0.6;2.9;2.7;96;25;3;0.8;1.0;0.5;26;4;0;10.1;4.5;No recurring injuries;Below Average;5.7;72;0.9;0;0;0;0;0;0;0;0;0;0
Premier League;Sander Berge;DM, M/AM (C);28;"6'5""";Reasonable;Very Strong;6.89;1;1550;0;0;0.91;0.91;-0.91;0.1;0%;0.0455;1.2;0.3;0.9;30%;0;0;0;25;1;1.44;0.1;91%;64.8;0.2;0.9;8.3;0.0;0.0;0.0;0.0;0.2;0;6.6;9.9;1.0;3.4;7.5;58;31;0;0.9;1.4;0.7;3;1;0;13.4;16.5;No recurring injuries;Average;2.4;48;0.1;0;0;0;0;0;0;0;0;0;0
First Division;Júnior Firpo;D/WB (L);29;"6'0""";Very Strong;Reasonable;6.85;0;1961;1;1961;0.27;0.27;0.73;0.0;17%;0.045;0.3;0.0;0.2;17%;1;0;0;29;1;1.98;0.1;93%;64.5;0.0;1.0;9.0;1.5;0.4;1.4;0.4;0.9;4;14.6;12.8;2.0;3.8;8.2;68;63;2;0.6;1.0;0.4;18;2;0;12.1;17.6;No recurring injuries;High;3.4;53;0.3;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Quinten Timber;D (C), DM, M/AM (C);24;"5'10""";Reasonable;Very Strong;6.92;3;3203;1;3203;3.21;3.21;-2.21;0.1;4%;0.13375;0.7;0.3;0.3;42%;0;0;0;49;8;7.91;0.2;93%;63.3;0.5;0.9;7.2;0.2;0.1;0.1;0.1;0.3;0;6.3;11.3;1.3;2.6;7.7;77;60;6;0.5;0.7;0.1;14;2;0;12.4;14.3;No recurring injuries;Above Average;1.7;40;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Mathias Jensen;DM, M (C);30;"5'11""";Strong;Very Strong;6.80;1;1686;0;0;1.37;1.37;-1.37;0.1;0%;0.0507407407407407;1.4;0.5;1.2;37%;0;0;0;38;1;2.42;0.1;89%;64.8;0.2;1.3;6.9;2.6;0.5;0.4;0.2;0.3;1;8.7;9.1;1.4;3.3;8.2;61;44;3;0.6;0.9;0.4;19;3;0;13.2;16.1;No recurring injuries;High;1.2;45;0.0;0;0;2;0;0;0;0;0;0;0
Premier League;Dominic Solanke;ST (C);28;"6'2""";Fairly Strong;Very Strong;6.92;1;2039;14;145.642857142857;11.79;10.98;2.21;0.5;18%;0.155131578947368;3.4;1.5;1.1;45%;2;3;67;35;3;3.31;0.1;86%;28.2;0.4;1.6;1.4;0.9;0.2;0.9;0.2;0.8;25;8.6;3.1;0.9;1.5;4.4;78;27;0;0.1;0.2;0.0;29;0;0;11.9;9.1;No recurring injuries;Average;7.0;33;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;João Moutinho;DM, M (C);39;"5'7""";Fairly Strong;Very Strong;7.14;2;3721;2;1860.5;2.16;2.16;-0.16;0.1;7%;0.08;0.7;0.1;0.4;22%;1;0;0;58;13;6.47;0.2;93%;68.8;0.3;1.0;7.4;1.1;0.2;0.1;0.1;0.1;1;7.2;14.3;1.0;2.9;6.7;71;56;3;0.6;0.8;0.2;42;11;0;11.2;14.9;No recurring injuries;Average;1.5;33;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Borja Iglesias;ST (C);33;"6'2""";Fairly Strong;Very Strong;6.85;2;3109;14;222.071428571429;11.51;11.51;2.49;0.3;14%;0.118659793814433;2.8;1.4;0.9;49%;4;4;100;40;1;1.78;0.1;91%;31.7;0.2;0.8;0.6;0.1;0.0;0.1;0.0;0.7;23;18.4;2.0;0.1;1.1;1.0;80;5;0;0.1;0.1;0.0;26;0;0;10.4;6.7;No recurring injuries;Average;5.8;46;0.1;0;0;0;0;0;0;0;0;0;0
First Division;Williot Swedberg;M (R), AM (RLC), ST (C);22;"6'1""";Fairly Strong;Very Strong;6.85;2;3254;10;325.4;8.4;8.4;1.6;0.2;15%;0.129230769230769;1.8;0.8;0.6;43%;5;0;0;40;2;4.03;0.1;89%;45.7;0.1;1.4;2.3;0.9;0.2;0.9;0.2;1.1;11;18.1;7.7;0.4;1.5;4.9;58;26;0;0.4;0.4;0.1;22;1;0;12.1;11.0;Recurring tight thigh;Very High;4.5;39;0.1;0;0;1;0;0;0;0;0;0;0
Premier League;Hidemasa Morita;DM, M (C);31;"5'10""";Reasonable;Very Strong;6.76;1;1932;0;0;2.37;2.37;-2.37;0.1;0%;0.182307692307692;0.6;0.1;0.2;15%;0;0;0;43;4;2.87;0.1;94%;57.5;0.1;1.0;7.3;0.0;0.0;0.0;0.0;0.1;4;3.9;13.1;1.0;2.3;5.1;52;42;3;0.3;0.5;0.1;20;2;1;11.4;10.9;No recurring injuries;Very High;1.6;31;0.1;0;0;0;0;0;0;0;0;0;0
First Division;Carl Starfelt;D (C);30;"6'1""";Reasonable;Very Strong;6.88;2;3116;0;0;0.82;0.82;-0.82;0.0;0%;0.0745454545454545;0.3;0.1;0.1;36%;0;0;0;35;0;1.14;0.0;93%;52.9;0.1;0.2;2.3;0.0;0.0;0.0;0.0;0.1;0;2.8;11.8;0.6;3.1;2.6;88;25;7;0.9;1.3;0.5;7;3;1;10.1;3.4;No recurring injuries;Below Average;5.7;66;0.7;0;0;0;0;0;0;0;0;0;0
First Division;Dani Ceballos;M (C), AM (L);29;"5'10""";Reasonable;Very Strong;6.46;1;1019;1;1019;2.59;2.59;-1.59;0.2;5%;0.1295;1.8;0.5;0.6;30%;1;0;0;17;1;3.13;0.3;89%;1.7;0.4;0.4;0.1;0.3;0.1;0.3;0.1;0.0;1;17.6;8.5;0.2;0.0;0.0;100;2;0;0.0;0.0;0.0;1;0;0;0.4;0.1;No recurring injuries;High;0.2;50;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Valentín Barco;D/WB (L), DM, M (LC), AM (L);21;"5'8""";Very Strong;Weak;6.85;1;3191;1;3191;2.69;1.92;-1.69;0.1;4%;0.11695652173913;0.6;0.2;0.4;30%;0;1;100;38;7;7.56;0.2;92%;57.1;0.3;1.2;6.3;9.3;1.2;0.4;0.0;0.4;4;9.0;11.3;1.3;2.8;6.9;69;68;0;0.5;0.9;0.2;33;4;0;12.2;14.0;No recurring injuries;Below Average;1.2;26;0.0;0;0;1;0;0;0;0;0;0;0
First Division;Mihailo Ristić;D/WB (L), M (LC);30;"5'11""";Very Strong;Weak;6.93;1;1139;0;0;0.23;0.23;-0.23;0.0;0%;0.0766666666666667;0.2;0.2;0.1;67%;0;0;0;15;1;1.32;0.1;91%;53.2;0.4;1.0;5.2;7.8;1.7;5.7;1.2;4.4;3;16.4;8.5;2.4;3.4;10.4;74;42;0;0.3;0.9;0.2;27;3;0;12.7;23.6;No recurring injuries;Average;2.4;48;0.1;0;0;2;0;0;0;0;0;0;0
First Division;Yangel Herrera;DM, M (C);28;"6'0""";Fairly Strong;Very Strong;6.56;0;1292;0;0;0.62;0.62;-0.62;0.0;0%;0.0688888888888889;0.6;0.1;0.3;22%;1;0;0;16;0;0.49;0.0;88%;24.7;0.1;0.3;3.1;0.2;0.0;0.2;0.0;0.2;0;12.2;8.8;0.4;1.6;3.4;86;7;0;0.1;0.2;0.1;5;0;0;5.4;7.4;No recurring injuries;High;0.7;30;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Nikola Milenković;D (C);28;"6'5""";Weak;Very Strong;6.88;2;3735;2;1867.5;2.62;2.62;-0.62;0.1;11%;0.137894736842105;0.5;0.3;0.0;63%;0;0;0;54;0;0.6;0.0;93%;67.5;0.0;0.2;5.1;0.0;0.0;0.0;0.0;0.1;0;5.0;11.3;0.6;3.3;2.6;74;34;5;0.4;1.0;0.3;30;5;1;10.6;7.6;No recurring injuries;Below Average;5.1;80;1.3;0;0;1;0;0;0;0;0;0;0
First Division;Johan Mojica;D/WB/M (L);33;"6'1""";Very Strong;Weak;6.86;1;2943;1;2943;0.76;0.76;0.24;0.0;11%;0.0844444444444444;0.3;0.1;0.2;22%;0;0;0;32;3;3.67;0.1;87%;61.6;0.2;0.9;7.7;2.2;0.6;1.5;0.4;1.9;2;14.9;10.3;1.8;3.8;8.2;72;83;2;0.6;1.0;0.3;61;7;3;11.3;16.2;No recurring injuries;Above Average;3.1;42;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Andreas Schjelderup;M/AM (RL);21;"5'9""";Fairly Strong;Very Strong;7.10;1;3189;13;245.307692307692;8.18;8.18;4.82;0.2;19%;0.118550724637681;1.9;0.8;0.7;43%;1;1;100;66;11;6.99;0.2;88%;48.7;0.3;2.0;4.4;2.6;0.7;2.3;0.6;2.4;19;14.4;6.0;1.6;2.2;10.2;75;75;0;0.4;0.8;0.1;34;0;0;11.8;14.0;No recurring injuries;Average;2.9;34;0.0;0;0;0;0;0;0;0;0;0;0
Bundesliga;David Raum;D/WB/M (L);28;"5'11""";Very Strong;Weak;6.98;2;2664;1;2664;0.71;0.71;0.29;0.0;10%;0.071;0.3;0.1;0.1;30%;1;0;0;47;5;4.99;0.2;88%;66.2;0.2;1.1;7.2;8.8;1.3;1.8;0.2;0.5;3;13.6;11.6;2.0;2.8;8.0;88;68;5;0.5;1.1;0.3;42;9;0;11.8;17.4;No recurring injuries;Low;3.3;54;0.4;0;0;0;0;0;0;0;0;0;0
Premier League;Will Hughes;DM, M (C);31;"6'1""";Very Strong;Reasonable;6.79;0;2373;1;2373;2.39;2.39;-1.39;0.1;3%;0.0682857142857143;1.3;0.5;1.1;34%;0;0;0;44;3;3.22;0.1;90%;64.4;0.2;0.8;7.5;3.3;0.4;0.1;0.0;0.2;2;8.1;9.7;1.6;3.0;8.0;67;64;1;0.6;0.6;0.4;46;7;2;12.4;16.0;No recurring injuries;Above Average;2.6;56;0.3;0;0;0;0;0;0;0;0;0;0
Premier League;Tomáš Souček;DM, M (C);31;"6'4""";Reasonable;Very Strong;6.79;1;2714;2;1357;1.69;1.69;0.31;0.1;6%;0.0497058823529412;1.1;0.5;0.6;44%;0;0;0;32;2;1.65;0.1;89%;51.0;0.1;0.6;4.6;0.1;0.0;0.1;0.0;0.2;1;7.0;9.9;0.8;3.2;4.6;64;36;5;0.7;1.5;0.5;16;2;0;12.4;14.4;No recurring injuries;Above Average;5.5;69;1.5;0;0;1;0;0;0;0;0;0;0
Premier League;Morgan Gibbs-White;M (C), AM (RC);26;"5'10""";Fairly Strong;Very Strong;6.86;2;3909;9;434.333333333333;9.91;9.15;-0.91;0.2;13%;0.145735294117647;1.6;0.6;0.7;35%;0;1;100;62;12;9.8;0.2;90%;51.4;0.5;1.7;3.3;5.4;1.2;1.0;0.4;2.0;19;11.3;6.0;1.1;1.7;7.8;82;57;2;0.2;0.3;0.1;39;2;0;13.1;17.0;No recurring injuries;Below Average;2.7;28;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Ismaïla Sarr;M (RL), AM (RLC), ST (C);28;"6'2""";Weak;Very Strong;6.87;5;1809;10;180.9;6.61;6.61;3.39;0.3;17%;0.110166666666667;3.0;1.2;1.1;42%;1;2;100;36;2;3.03;0.2;87%;42.5;0.2;1.6;2.8;1.3;0.2;1.0;0.2;1.5;16;11.7;6.0;0.4;1.7;5.4;60;15;1;0.2;0.3;0.0;27;0;0;13.3;14.6;No recurring injuries;Average;6.1;39;0.0;0;0;0;0;0;0;0;0;0;0
Eredivisie;Raheem Sterling;M/AM (RL);31;"5'8""";Weak;Very Strong;6.95;4;2631;10;263.1;6.71;6.71;3.29;0.2;15%;0.100149253731343;2.3;1.0;0.8;45%;1;0;0;49;2;6.01;0.2;89%;51.3;0.3;1.4;3.9;3.0;0.5;3.0;0.5;3.6;15;13.5;6.4;1.5;2.9;11.4;77;57;1;0.4;0.4;0.0;31;0;0;11.5;17.6;No recurring injuries;Low;2.7;41;0.1;0;0;1;0;0;0;0;0;0;0
Bundesliga;Ramy Bensebaini;D (LC), WB (L);31;"6'2""";Very Strong;Reasonable;7.06;1;1842;0;0;1.17;1.17;-1.17;0.1;0%;0.065;0.9;0.2;0.3;22%;0;0;0;29;2;2.45;0.1;95%;51.7;0.1;0.6;3.6;1.6;0.3;1.6;0.3;0.3;1;4.5;16.1;0.9;3.2;3.8;56;32;4;0.5;1.3;0.5;19;7;0;11.0;10.2;No recurring injuries;High;3.9;80;0.7;0;0;0;0;0;0;0;0;0;0
Premier League;Danny Welbeck;AM (RL), ST (C);35;"6'1""";Reasonable;Very Strong;7.12;2;1339;11;121.727272727273;6.93;6.93;4.07;0.5;26%;0.165;2.8;1.5;1.0;55%;1;0;0;35;5;4.11;0.3;89%;38.3;0.6;1.7;2.8;2.4;0.2;2.4;0.2;1.7;5;8.8;5.0;0.9;1.8;6.1;72;18;0;0.2;0.4;0.1;9;1;0;12.4;11.4;Recurring torn medial meniscus, hamstring strain and moderate hamstring strain;Very High;6.5;43;0.1;0;0;1;0;0;0;0;0;0;0
Premier League;Alphonse Areola;GK;33;"6'5""";Weak;Very Strong;6.88;4;3510;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;39;0;0.03;0.0;80%;24.4;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0;6.9;9.1;0.1;0.4;0.0;40;5;1;0.0;3.7;0.0;0;0;0;4.4;0.1;No recurring injuries;Below Average;0.0;0;0.0;10;-4.85;4;78;80;93;24;60;5;40
Bundesliga;Fábio Silva;AM (C), ST (C);23;"6'1""";Fairly Strong;Very Strong;6.71;0;1042;5;208.4;4.8;4.8;0.2;0.4;15%;0.141176470588235;2.9;1.4;0.7;47%;0;1;100;11;1;1.8;0.2;92%;34.7;0.2;1.4;1.6;0.7;0.3;0.7;0.3;0.5;5;20.9;3.6;0.3;1.1;2.9;67;6;0;0.2;0.2;0.0;8;0;0;11.4;7.6;No recurring injuries;Above Average;5.0;31;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Aimar;M (LC), AM (RLC);24;"5'10""";Fairly Strong;Very Strong;7.00;3;2533;5;506.6;8.47;8.47;-3.47;0.3;7%;0.117638888888889;2.6;0.9;1.0;35%;2;1;100;30;7;5.86;0.2;90%;49.4;0.4;2.0;3.1;2.8;0.5;1.1;0.2;1.1;6;14.5;10.4;0.9;1.6;7.2;74;34;3;0.1;0.3;0.0;26;3;0;13.0;14.1;No recurring injuries;Average;3.1;17;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Predrag Rajković;GK;30;"6'3""";Reasonable;Very Strong;7.07;1;1440;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;25;0;0;0.0;86%;23.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0;4.6;5.6;0.1;0.1;0.0;100;1;0;0.0;1.7;0.0;0;0;0;6.7;0.1;No recurring injuries;Below Average;0.0;0;0.0;9;4.49;0;79;9;20;6;11;1;100
Bundesliga;Rômulo;ST (C);24;"6'4""";Fairly Strong;Very Strong;6.89;1;2860;12;238.333333333333;14.77;13.15;-2.77;0.5;11%;0.136759259259259;3.4;1.4;0.8;42%;0;3;33;52;1;2.83;0.1;88%;29.2;0.3;1.0;0.9;0.4;0.1;0.4;0.1;0.6;27;16.0;2.3;0.3;0.7;1.5;100;8;0;0.2;0.1;0.0;31;2;0;10.5;6.3;No recurring injuries;Average;6.1;36;0.1;0;0;0;0;0;0;0;0;0;0
