Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Premier League;Santa Clara;Vinícius Lopes;AM (R);AM (L), ST (C);AM (RL), ST (C);27;"5'11""";£1.2K - £1.8K p/w;£700K - £7.2M;Fairly Strong;Very Strong;6.88;2;2444;7;349.142857142857;0.3;5.66;5.66;1.34;0.2;12%;0.0975862068965517;2.1;0.7;0.6;33%;1;1;100;2;0.1;1.21;0.0;89%;41.8;0.0;1.7;3.2;3.5;0.6;16;3.5;0.6;17;3.7;25;12;19.7;5.0;1.5;2.3;10.0;77;52;1;0.1;0.6;0.0;40;3;0;12.0;17.0;No recurring injuries;Below Average;4.3;39;0.0;0;0;0;0;0;0;0;0;0;0;1.0;1.6
Serie A;Sassuolo;Kristian Thorstvedt;M (C);;M/AM (C);28;"6'2""";£40.5K - £47K p/w;£14.5M - £21M;Very Strong;Reasonable;6.65;0;1862;7;266;0.3;3.47;3.47;3.53;0.2;23%;0.115666666666667;1.5;0.8;0.5;53%;3;0;0;0;0.0;2.29;0.1;65%;1.9;0.2;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;9;0;10.6;11.3;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;3;1;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.4
First Division;Levante;Iván Romero;ST (C);AM (RL);AM (RL), ST (C);25;"5'8""";£28K - £32K p/w;£23M - £33M;Fairly Strong;Very Strong;7.03;2;2053;7;293.285714285714;0.3;3.72;3.72;3.28;0.2;18%;0.0953846153846154;1.7;0.7;0.8;38%;0;0;0;1;0.0;3.16;0.1;88%;47.8;0.4;1.8;3.7;3.4;0.6;18;3.4;0.6;18;3.6;20;8;18.9;4.2;1.7;2.1;10.4;89;44;1;0.0;0.4;0.0;25;0;0;11.5;14.9;No recurring injuries;Above Average;2.5;33;0.0;0;0;0;0;0;0;0;0;0;0;0.9;1.5
Jupiler Pro League;RAAL La Louvière;David Henen;ST (C);AM (L);AM (RL), ST (C);30;"6'1""";£2.1K - £3K p/w;£100K - £1M;Fairly Strong;Very Strong;6.75;0;2074;7;296.285714285714;0.3;4.34;4.34;2.66;0.2;23%;0.14;1.3;0.7;0.5;48%;0;0;0;1;0.0;2.04;0.1;88%;32.4;0.1;0.9;1.2;2.2;0.4;20;2.2;0.4;20;1.5;36;15;25.0;1.8;0.7;1.4;3.4;71;21;0;0.1;0.4;0.0;21;1;0;10.6;8.1;No recurring injuries;Below Average;6.3;23;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.1
Ligue 2 BKT;Grenoble;Ugo Bonnet;ST (C);AM (C);AM (C), ST (C);33;"5'11""";£2.7K - £3.6K p/w;£0 - £90K;Weak;Very Strong;6.74;1;1965;7;280.714285714286;0.3;9.79;9.79;-2.79;0.4;9%;0.132297297297297;3.4;1.6;1.0;46%;4;0;0;1;0.0;2.15;0.1;89%;28.8;0.1;1.1;0.9;0.8;0.2;23;0.6;0.1;23;0.4;27;18;23.6;1.9;0.3;0.6;1.9;75;8;0;0.0;0.4;0.0;21;0;0;10.2;6.1;No recurring injuries;Below Average;8.2;28;0.1;0;0;0;0;0;0;0;0;0;0;0.8;1.3
Eredivisie;Go Ahead Eagles;Mathis Suray;AM (C);AM (RL);AM (RLC);25;"5'8""";£2.3K - £3.6K p/w;£5.2M - £6.4M;Reasonable;Very Strong;6.82;1;2883;6;480.5;0.2;5.81;5.81;0.19;0.2;13%;0.126304347826087;1.4;0.7;0.4;46%;1;0;0;5;0.2;4.72;0.1;89%;42.9;0.2;2.3;3.1;1.3;0.2;12;1.3;0.2;12;1.1;7;12;19.6;10.6;0.7;1.0;5.5;73;30;0;0.1;0.2;0.0;29;1;0;11.9;10.6;No recurring injuries;Below Average;3.0;12;0.0;0;0;0;0;0;0;0;0;0;0;0.9;1.2
Second Division;S. Gijón;Àlex Corredera;M (C);;DM, M (C);31;"5'11""";£18K - £26K p/w;£170K - £1.7M;Very Strong;Reasonable;6.64;0;2261;6;376.833333333333;0.2;4.03;4.03;1.97;0.2;12%;0.0806;2.0;0.9;0.6;44%;0;0;0;4;0.2;4.06;0.2;89%;8.3;0.2;0.3;1.0;6.6;0.9;13;0.1;0.0;0;0.0;16;0;11.1;13.9;0.2;0.3;0.9;86;7;0;0.0;0.1;0.0;8;4;1;1.6;1.7;No recurring injuries;Average;0.3;29;0.0;0;0;0;0;0;0;0;0;0;0;1.5;1.2
Premier League;Newcastle;Anthony Elanga;AM (R);M (L), ST (C);M/AM (RL), ST (C);24;"5'11""";£80K - £91K p/w;£53M - £75M;Reasonable;Very Strong;7.33;3;1485;6;247.5;0.4;4.69;4.69;1.31;0.3;16%;0.123421052631579;2.3;1.1;0.5;47%;0;0;0;10;0.6;5.99;0.4;87%;58.2;0.7;2.8;6.0;8.7;1.9;22;8.7;1.9;22;10.3;41;12;18.2;6.9;2.2;2.7;11.9;78;46;0;0.2;0.6;0.0;18;2;0;13.7;20.6;No recurring injuries;Above Average;3.9;42;0.1;0;0;0;0;0;0;0;0;0;0;2.4;0.8
Premier League;Brentford;Keane Lewis-Potter;AM (L);D/WB (L);D/WB (L), AM (RL);26;"5'7""";£52K - £58K p/w;£39M - £55M;Reasonable;Very Strong;7.08;2;1131;6;188.5;0.5;3.24;3.24;2.76;0.3;18%;0.0952941176470588;2.7;1.3;1.4;47%;1;0;0;3;0.2;3.35;0.3;88%;48.9;0.8;1.4;4.1;4.1;0.6;15;3.9;0.6;16;4.4;18;7;13.1;9.1;2.9;3.7;11.5;78;46;0;0.2;0.9;0.1;11;1;0;13.5;21.4;No recurring injuries;Above Average;3.8;33;0.0;0;0;0;0;0;0;0;0;0;0;2.0;2.2
Ligue 2 BKT;FC Rouen;Amadou Ba-Sy;ST (C);;AM (L), ST (C);25;"6'3""";£2.9K - £3.9K p/w;£60K - £600K;Fairly Strong;Very Strong;6.79;2;2048;6;341.333333333333;0.3;7.8;7.8;-1.8;0.3;8%;0.109859154929577;3.1;1.4;1.1;44%;3;0;0;1;0.0;0.69;0.0;89%;26.3;0.1;0.9;0.6;1.3;0.1;10;0.3;0.1;33;0.6;47;14;22.4;1.4;0.3;0.6;1.8;86;7;0;0.1;0.0;0.0;18;5;0;10.1;6.4;No recurring injuries;Above Average;10.1;57;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.0
Second Division;Almería;Marezi;ST (C);;ST (C);23;"6'5""";£2.9K - £3.4K p/w;£130K - £1.3M;Fairly Strong;Very Strong;7.02;3;1158;6;193;0.5;4.53;3.72;1.47;0.4;15%;0.11325;3.1;1.5;1.2;48%;1;3;67;3;0.2;1.17;0.1;89%;30.7;0.2;1.3;1.2;0.7;0.3;44;0.7;0.3;44;0.3;24;5;17.3;2.0;0.3;0.3;1.6;100;4;0;0.1;0.0;0.0;10;1;0;10.2;8.0;No recurring injuries;Above Average;8.5;57;0.2;0;0;0;0;0;0;0;0;0;0;1.8;0.7
Premier League;Benfica;Andreas Schjelderup;AM (L);M (RL), AM (R);M/AM (RL);22;"5'9""";£21.5K - £32K p/w;£50M - £65M;Fairly Strong;Very Strong;7.05;1;1595;6;265.833333333333;0.3;7.08;6.27;-1.08;0.4;10%;0.114193548387097;3.5;1.8;0.8;52%;1;1;0;5;0.3;4.24;0.2;87%;47.5;0.3;2.0;3.7;3.3;0.3;10;3.2;0.3;11;2.4;16;5;14.2;5.2;1.4;2.3;10.0;80;30;2;0.1;0.6;0.0;14;1;0;12.1;15.2;No recurring injuries;Average;2.6;35;0.0;0;0;0;0;0;0;0;0;0;0;2.1;0.7
Second Division;R. Santander;Juan Carlos Arana;ST (C);;ST (C);27;"6'0""";£13.5K - £15.5K p/w;£110K - £1.1M;Reasonable;Very Strong;6.75;1;1978;6;329.666666666667;0.3;7.59;6.78;-1.59;0.3;11%;0.143207547169811;2.4;1.0;0.7;40%;0;3;67;0;0.0;1.43;0.1;87%;31.3;0.0;1.2;0.7;0.5;0.0;0;0.5;0.0;0;0.7;40;14;16.3;1.7;0.2;0.5;1.5;57;7;0;0.1;0.0;0.0;18;1;0;10.6;6.7;No recurring injuries;High;7.2;28;0.2;0;0;0;0;0;0;0;0;0;0;0.9;1.0
Premier League;Sporting CP;Toni Fruk;AM (C);M (C), AM (R), ST (C);M (C), AM (RC), ST (C);26;"5'10""";£19.5K - £29K p/w;£8.6M - £11.5M;Reasonable;Very Strong;6.92;0;1084;6;180.666666666667;0.5;4.64;4.64;1.36;0.4;12%;0.0946938775510204;4.1;1.7;1.0;43%;1;0;0;3;0.2;1.17;0.1;91%;45.7;0.4;1.3;2.3;8.6;2.4;27;1.0;0.2;25;0.9;11;0;13.7;10.9;0.4;1.3;6.5;63;8;0;0.2;0.3;0.0;3;0;0;12.5;11.6;No recurring injuries;Below Average;2.1;32;0.0;0;0;0;0;0;0;0;0;0;0;1.8;0.7
Serie A;Sassuolo;Janis Antiste;ST (C);AM (RC);AM (RC), ST (C);24;"6'0""";£32K - £38K p/w;£5.8M;Weak;Very Strong;7.03;2;2276;6;379.333333333333;0.2;6.65;6.65;-0.65;0.3;10%;0.105555555555556;2.5;1.2;0.8;48%;1;0;0;8;0.3;3.87;0.2;87%;43.3;0.2;1.3;2.9;2.2;0.6;25;2.1;0.6;27;2.9;34;13;15.9;4.1;1.0;1.8;7.9;81;31;2;0.4;0.4;0.0;40;5;0;10.6;14.4;No recurring injuries;Very Low;3.3;43;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.5
Sky Bet Championship;Bristol City;Max Bird;M (C);DM;DM, M/AM (C);26;"6'0""";£16.75K - £24.5K p/w;£7M - £8.6M;Very Strong;Reasonable;6.55;0;3122;6;520.333333333333;0.2;4.18;4.18;1.82;0.1;17%;0.119428571428571;1.0;0.3;0.3;34%;1;0;0;3;0.1;7.21;0.2;88%;3.9;0.4;0.1;0.6;2.0;0.3;14;0.0;0.0;0;0.0;22;0;12.9;13.4;0.1;0.1;0.8;100;4;1;0.0;0.1;0.0;1;1;0;0.7;1.1;No recurring injuries;Average;0.1;33;0.0;0;0;0;0;0;0;0;0;0;0;1.6;1.1
Sky Bet Championship;Leeds;Largie Ramazani;AM (L);AM (R), ST (C);AM (RL), ST (C);26;"5'6""";£48K - £64K p/w;£26M - £43M;Strong;Very Strong;6.92;1;1467;6;244.5;0.4;5.56;5.56;0.44;0.3;13%;0.118297872340426;2.9;1.3;1.0;47%;1;2;100;1;0.1;1.62;0.1;89%;50.1;0.2;1.3;4.3;3.6;1.0;27;3.6;0.9;26;3.9;15;7;16.1;2.9;1.5;2.3;10.4;80;30;0;0.3;0.4;0.1;15;0;0;11.6;15.3;No recurring injuries;Above Average;3.0;12;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.9
Eredivisie;Feyenoord;Anis Hadj Moussa;AM (R);M (R);M (R), AM (RL);25;"5'9""";£27.5K - £42.5K p/w;£22M - £30M;Very Strong;Weak;6.95;3;2378;6;396.333333333333;0.2;5.47;5.47;0.53;0.2;9%;0.08546875;2.4;1.0;1.2;41%;1;0;0;4;0.2;3.98;0.2;88%;51.6;0.3;1.9;4.5;7.9;1.5;19;3.7;0.6;15;6.2;42;15;15.9;7.2;1.7;2.4;11.1;63;72;2;0.2;0.4;0.0;29;1;0;12.6;17.0;No recurring injuries;Below Average;2.1;25;0.0;0;0;0;0;0;0;0;0;0;0;1.3;0.7
Premier League;Ipswich;Tomáš Souček;DM, M (C);;DM, M (C);32;"6'4""";£62K - £82K p/w;Not for Sale;Reasonable;Very Strong;6.79;1;2663;6;443.833333333333;0.2;3.6;2.07;2.4;0.1;13%;0.0765957446808511;1.6;0.8;1.1;53%;1;2;50;1;0.0;1.87;0.1;88%;48.6;0.1;1.0;4.6;0.1;0.1;50;0.1;0.1;50;0.2;4;4;6.4;7.4;1.0;2.3;3.9;70;44;9;0.7;1.3;0.6;17;2;0;12.3;17.0;No recurring injuries;Above Average;4.5;64;1.0;0;0;1;0;0;0;0;0;0;0;0.9;1.7
Premier League;Arouca;Fally Mayulu;ST (C);AM (RC);AM (RC), ST (C);24;"6'4""";£5.5K - £8.5K p/w;£400K - £3.9M;Fairly Strong;Very Strong;6.64;0;1976;6;329.333333333333;0.3;7.57;7.57;-1.57;0.3;9%;0.116461538461538;3.0;1.4;0.9;46%;1;0;0;2;0.1;0.74;0.0;89%;25.4;0.1;0.9;0.8;0.3;0.1;33;0.3;0.1;33;0.9;42;20;21.6;1.5;0.3;0.8;1.8;78;9;0;0.2;0.2;0.0;21;0;0;9.8;5.1;No recurring injuries;Below Average;8.0;30;0.0;0;0;0;0;0;0;0;0;0;0;0.9;0.9
Premier League;Brighton;Georginio Rutter;AM (C);AM (R), ST (C);AM (RC), ST (C);24;"6'0""";£79K - £89K p/w;£40M - £59M;Very Strong;Strong;6.65;0;2554;6;425.666666666667;0.2;6.6;6.6;-0.6;0.2;13%;0.143478260869565;1.6;0.8;0.5;52%;2;0;0;5;0.2;4.52;0.2;87%;44.1;0.6;1.3;1.9;1.3;0.2;16;1.3;0.2;17;2.3;33;12;9.9;2.4;0.1;0.7;2.5;30;10;0;0.1;0.1;0.1;16;0;0;12.1;8.0;No recurring injuries;Below Average;4.5;33;0.2;0;0;0;0;0;0;0;0;0;0;1.6;2.3
Ligue 1 McDonald's;LOSC;Osame Sahraoui;AM (L);M (L), AM (RC);M (L), AM (RLC);25;"5'7""";£55K - £62K p/w;£8M;Fairly Strong;Very Strong;6.88;1;1110;6;185;0.5;6.68;6.68;-0.68;0.5;13%;0.145217391304348;3.7;1.9;0.7;50%;1;0;0;1;0.1;2.66;0.2;90%;49.9;0.6;2.1;4.4;2.8;0.9;31;2.7;0.8;30;3.4;15;3;12.1;6.1;1.1;1.8;8.4;76;17;0;0.1;0.4;0.0;5;0;0;11.1;13.6;No recurring injuries;Below Average;2.5;23;0.0;0;0;0;0;0;0;0;0;0;0;1.9;1.2
Bundesliga 2;Holstein Kiel;Andu Kelati;AM (L);M (LC), AM (RC);M (LC), AM (RLC);24;"5'10""";£4.8K - £7K p/w;£200K - £2M;Weak;Very Strong;7.00;3;1941;6;323.5;0.3;2.75;2.75;3.25;0.1;19%;0.0859375;1.5;0.7;0.5;50%;2;1;100;2;0.1;6.15;0.3;91%;43.2;0.4;1.2;2.8;1.9;0.4;21;1.9;0.4;22;4.7;26;6;20.4;4.4;0.9;2.5;9.1;79;24;0;0.3;0.6;0.0;29;1;0;11.4;15.2;No recurring injuries;High;4.1;36;0.0;0;0;0;0;0;0;0;0;0;0;1.0;1.0
Ligue 1 McDonald's;OL;Afonso Moreira;AM (L);;AM (RL);22;"5'10""";£27K - £30.5K p/w;£22M - £26M;Reasonable;Very Strong;6.81;0;1868;6;311.333333333333;0.3;5;5;1;0.2;14%;0.113636363636364;2.1;0.7;0.7;32%;5;0;0;2;0.1;7.45;0.4;89%;51.8;0.5;2.4;4.5;3.9;1.1;28;3.4;1.0;30;4.1;18;8;15.1;6.5;1.6;1.8;10.5;77;44;0;0.3;0.6;0.0;34;4;1;12.7;18.5;No recurring injuries;Below Average;2.6;28;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.1
Jupiler Pro League;KV Mechelen;Maksim Kireev;AM (L);AM (C);AM (LC);22;"6'0""";£2.7K - £4.1K p/w;£1.1M - £2.6M;Weak;Very Strong;6.98;4;3328;6;554.666666666667;0.2;7.69;7.69;-1.69;0.2;8%;0.096125;2.2;0.7;0.9;33%;3;0;0;8;0.2;5.68;0.2;90%;42.8;0.4;1.4;2.9;2.2;0.5;22;2.2;0.5;23;2.7;30;9;14.8;7.7;1.5;2.0;8.8;85;65;0;0.3;0.5;0.0;46;2;0;11.7;16.1;No recurring injuries;Below Average;4.7;38;0.1;0;0;0;0;0;0;0;0;0;0;1.1;1.4
Jupiler Pro League;KV Mechelen;Bouke Boersma;ST (C);;ST (C);21;"6'6""";£1.5K - £2.2K p/w;£300K - £3.1M;Weak;Very Strong;6.81;0;1211;6;201.833333333333;0.4;6.63;6.63;-0.63;0.5;13%;0.141063829787234;3.5;1.9;1.3;53%;0;0;0;1;0.1;2.23;0.2;88%;24.3;0.1;0.7;0.6;0.4;0.1;20;0.4;0.1;20;0.7;18;7;15.8;1.9;0.1;1.0;1.9;50;4;0;0.2;0.3;0.0;11;0;0;11.0;6.1;No recurring injuries;High;8.7;38;0.0;0;0;0;0;0;0;0;0;0;0;1.4;1.4
Premier League;BRG;Cyril Ngonge;AM (R);ST (C);AM (RC), ST (C);26;"5'10""";£20K - £26K p/w;£3.5M - £5.2M;Very Strong;Reasonable;6.84;1;1116;6;186;0.5;4.81;4.81;1.19;0.4;14%;0.109318181818182;3.5;1.9;0.9;55%;1;1;100;1;0.1;3.12;0.3;87%;39.0;0.6;0.8;2.3;4.4;0.6;14;2.2;0.4;19;3.7;21;12;16.8;2.7;0.8;1.5;6.9;91;11;0;0.2;0.0;0.0;15;2;0;11.4;12.7;No recurring injuries;Below Average;3.5;35;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.8
Bundesliga;Bayer 04 Leverkusen;Eliesse Ben Seghir;AM (L);M (L);M (L), AM (LC);22;"5'10""";£76K - £105K p/w;£29M - £47M;Fairly Strong;Very Strong;6.93;3;2278;6;379.666666666667;0.2;5.97;5.97;0.03;0.2;10%;0.0962903225806452;2.4;1.1;1.0;45%;5;2;100;6;0.2;3.32;0.1;88%;49.8;0.2;2.0;4.1;2.2;0.4;17;2.2;0.4;18;3.1;15;9;17.3;5.7;1.3;2.0;8.8;72;47;0;0.2;0.5;0.0;24;1;0;11.9;14.0;No recurring injuries;Below Average;2.1;13;0.0;0;0;0;0;0;0;0;0;0;0;1.8;0.8
Bundesliga;1. FC Nürnberg;Julian Justvan;AM (C);M (RC);M/AM (RC);28;"5'10""";£25.5K - £35K p/w;£3.5M - £7.2M;Very Strong;Weak;6.89;0;2110;6;351.666666666667;0.3;5.56;5.56;0.44;0.2;13%;0.123555555555556;1.9;0.6;0.6;31%;1;0;0;3;0.1;4.58;0.2;89%;41.9;0.3;2.0;2.9;6.1;0.8;13;0.9;0.1;14;1.4;19;8;15.4;10.0;0.6;1.2;4.6;58;24;1;0.3;0.2;0.0;12;2;0;12.1;10.6;No recurring injuries;Average;3.5;27;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.7
Sky Bet Championship;Hull;Abdülkadir Ömür;AM (C);M (C), AM (L);M (C), AM (RLC);27;"5'6""";£11.25K - £16.25K p/w;£170K - £1.7M;Very Strong;Weak;6.75;1;2184;6;364;0.2;3.79;3.79;2.21;0.2;14%;0.0902380952380952;1.7;0.7;0.5;40%;1;0;0;4;0.2;3.77;0.2;89%;13.6;0.5;1.0;1.0;6.0;0.9;14;0.7;0.1;17;0.6;16;2;16.9;7.5;0.3;0.3;2.1;80;10;1;0.0;0.0;0.0;3;1;0;3.7;3.5;No recurring injuries;High;0.4;11;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.1
Premier League;Estrela da Amadora SAD;Sydney van Hooijdonk;ST (C);;ST (C);27;"6'3""";£2.1K - £3.1K p/w;£80K - £800K;Reasonable;Very Strong;6.73;0;1534;6;255.666666666667;0.4;4.12;4.12;1.88;0.2;12%;0.0824;2.9;0.9;0.8;30%;3;2;100;0;0.0;0.32;0.0;89%;27.6;0.0;1.4;1.5;0.6;0.4;60;0.6;0.4;60;0.5;24;10;21.0;2.0;0.2;0.8;2.1;67;6;0;0.1;0.0;0.0;11;0;0;10.8;6.4;No recurring injuries;Below Average;7.1;40;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.3
Sky Bet Championship;Preston;Sandro Vidigal;AM (L);M (L), AM (R);M (L), AM (RL);19;"5'8""";£3K - £3.3K p/w;£43M;Fairly Strong;Very Strong;6.89;5;2602;6;433.666666666667;0.2;5.55;5.55;0.45;0.2;11%;0.0973684210526316;2.0;0.9;0.4;44%;1;0;0;7;0.2;6.14;0.2;89%;47.1;0.3;1.6;3.8;2.8;0.6;19;2.8;0.6;20;4.1;27;7;16.6;5.2;1.2;1.8;9.5;78;45;0;0.3;0.8;0.0;34;6;0;11.5;13.2;No recurring injuries;Below Average;2.9;21;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.2
Premier League;Man City;Tijjani Reijnders;M (C);DM;DM, M/AM (C);28;"6'1""";£130K - £185K p/w;£26M - £41M;Fairly Strong;Very Strong;6.89;1;1321;6;220.166666666667;0.4;6.21;6.21;-0.21;0.4;16%;0.167837837837838;2.5;0.8;0.7;32%;0;0;0;4;0.3;3.89;0.3;89%;67.7;0.7;2.2;5.3;2.0;0.7;34;1.2;0.6;50;0.8;4;2;9.4;4.9;0.9;1.5;7.6;81;16;0;0.3;0.3;0.2;3;1;0;13.6;18.7;No recurring injuries;Below Average;1.5;23;0.1;0;0;0;0;0;0;0;0;0;0;2.6;1.3
Ligue 1 McDonald's;Paris FC;Moses Simon;AM (L);M (L);M/AM (L);31;"5'6""";£45.5K - £52K p/w;£230K - £8.6M;Reasonable;Very Strong;6.90;0;2124;6;354;0.3;4.63;4.63;1.37;0.2;14%;0.110238095238095;1.8;0.8;0.5;45%;0;0;0;1;0.0;3.23;0.1;87%;43.4;0.2;1.3;3.2;3.9;0.9;24;3.6;0.9;26;4.2;18;5;17.8;4.7;1.0;2.6;9.7;69;35;0;0.3;1.0;0.0;16;0;0;12.0;14.9;No recurring injuries;Above Average;2.8;24;0.1;0;0;0;0;0;0;0;0;0;0;1.1;1.1
Serie A;Juventus;Vasilije Adžić;AM (C);AM (L);M (C), AM (LC);20;"6'1""";£17.25K - £22K p/w;£8.8M - £12.5M;Reasonable;Very Strong;6.91;1;2289;6;381.5;0.2;6.96;6.96;-0.96;0.3;10%;0.11047619047619;2.5;0.7;0.8;30%;2;0;0;3;0.1;3.96;0.2;87%;44.4;0.2;1.7;2.7;3.5;0.4;12;1.1;0.2;22;1.1;12;3;23.3;7.8;0.6;1.4;4.6;70;23;0;0.3;0.4;0.0;14;1;0;11.8;9.7;No recurring injuries;Very Low;2.9;37;0.1;0;0;0;0;0;0;0;0;0;0;1.1;0.9
Ligue 1 McDonald's;OL;Malick Fofana;AM (L);;AM (RL);21;"5'7""";£24K - £27.5K p/w;£75M - £92M;Very Strong;Very Strong;6.90;0;1722;6;287;0.3;5.63;5.63;0.37;0.3;12%;0.114897959183673;2.6;1.0;1.0;41%;1;0;0;1;0.1;3.14;0.2;90%;47.8;0.2;1.8;4.8;3.0;0.9;29;3.0;0.9;29;4.1;20;5;14.6;5.0;1.2;2.0;10.3;66;35;0;0.2;0.6;0.1;12;0;0;11.9;14.2;No recurring injuries;Above Average;2.3;23;0.0;0;0;0;0;0;0;0;0;0;0;1.4;0.8
Sky Bet Championship;West Brom;Isaac Price;AM (C);AM (R);M (C), AM (RC);23;"5'10""";£9.25K - £13.25K p/w;£6M - £7.8M;Reasonable;Very Strong;6.70;0;2585;6;430.833333333333;0.2;10.29;9.48;-4.29;0.4;11%;0.18375;1.9;0.8;0.3;39%;2;1;0;2;0.1;2.99;0.1;89%;42.1;0.4;1.9;2.8;1.5;0.2;15;1.5;0.2;17;1.6;22;12;17.0;12.0;0.4;1.3;5.1;41;29;1;0.1;0.3;0.0;19;1;0;12.3;11.5;No recurring injuries;High;4.4;29;0.1;0;0;0;0;0;0;0;0;0;0;0.9;0.9
First Division;Oviedo;Vakoun Issouf Bayo;ST (C);;ST (C);30;"6'0""";£9.25K - £15.75K p/w;£300K - £3M;Reasonable;Very Strong;6.84;0;1134;6;189;0.5;3.76;3.76;2.24;0.3;20%;0.125333333333333;2.4;1.0;0.7;43%;0;0;0;2;0.2;0.6;0.0;89%;28.5;0.1;0.8;0.4;0.2;0.1;33;0.2;0.1;33;0.9;29;8;19.2;2.0;0.0;0.6;1.1;0;0;0;0.1;0.3;0.0;12;0;0;11.1;6.5;No recurring injuries;Below Average;9.3;34;0.2;0;0;0;0;0;0;0;0;0;0;1.5;1.4
Sky Bet Championship;Stockport;Harry Howell;AM (R);M (RC), ST (C);M/AM (RC), ST (C);18;"5'11""";£5.5K - £6.25K p/w;£15M - £24M;Very Strong;Weak;6.86;0;2417;6;402.833333333333;0.2;4.8;4.8;1.2;0.2;12%;0.0941176470588235;1.9;0.9;0.6;45%;0;3;100;4;0.1;4.35;0.2;88%;42.1;0.2;1.5;2.8;1.8;0.5;26;1.8;0.5;27;3.2;19;7;16.0;9.3;0.7;2.2;7.7;78;23;1;0.2;0.5;0.0;18;0;0;12.6;14.5;No recurring injuries;Below Average;2.8;29;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.2
Bundesliga;RB Leipzig;Assan Ouédraogo;M (C);AM (L);M (C), AM (LC);20;"6'3""";£48K - £70K p/w;£79M - £98M;Fairly Strong;Very Strong;6.80;1;2383;6;397.166666666667;0.2;9.1;9.1;-3.1;0.3;7%;0.112345679012346;3.1;1.4;1.2;46%;0;0;0;4;0.2;6.15;0.2;89%;25.4;0.5;1.2;1.8;0.8;0.3;35;0.7;0.3;37;1.1;39;6;9.3;9.1;0.4;1.1;3.4;50;22;0;0.0;0.1;0.0;9;0;0;6.4;9.1;Recurring tight hamstring;Very High;2.0;35;0.2;0;0;0;0;0;0;0;0;0;0;2.0;0.8
Premier League;FC Porto;Isco;AM (C);M (RL);M (RLC), AM (C);34;"5'9""";£49K - £73K p/w;Not for Sale;Fairly Strong;Very Strong;6.81;1;1911;6;318.5;0.3;6.06;5.29;-0.06;0.3;12%;0.123673469387755;2.3;1.1;1.0;47%;2;1;100;8;0.4;6.12;0.3;86%;33.0;0.7;1.0;2.8;10.2;1.6;16;0.6;0.1;25;0.5;19;3;12.2;7.8;0.3;1.3;3.5;60;10;0;0.2;0.3;0.1;8;1;0;7.2;8.9;No recurring injuries;Above Average;0.7;33;0.0;0;0;0;0;0;0;0;0;0;0;2.2;1.1
Premier League;Gil Vicente;Héctor Hernández;ST (C);;ST (C);31;"5'11""";£2.7K - £4.1K p/w;Not for Sale;Fairly Strong;Very Strong;6.74;2;1962;6;327;0.3;8.14;8.14;-2.14;0.4;8%;0.104358974358974;3.6;2.0;1.1;55%;1;1;100;0;0.0;0.75;0.0;89%;24.6;0.1;0.7;0.6;0.6;0.0;8;0.6;0.0;8;0.8;36;11;23.1;1.7;0.2;0.7;1.3;57;7;0;0.0;0.4;0.0;14;0;0;9.8;5.0;No recurring injuries;Average;7.5;40;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.1
